game_date,away_team,home_team,game_id,start_time
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
2025-07-05,NYL,LVA,20250705_NYL_LVA,7:00 PM ET
2025-07-05,CON,IND,20250705_CON_IND,7:00 PM ET
