bet_date,player_name,team,opponent,stat,line,side,sportsbook,odds,hit_rate,edge,projection_mean,projection_median,floor,ceiling,projected_minutes,confidence,actual_value,bet_result,confidence_score,line_delta,bet_quality_score,DATE,PLAYER,TEAM,MATCHUP,STAT,RAW_STAT,BET,LINE,PROJECTION,EDGE,ABS_EDGE,STDDEV,HIT_RATE,MODEL_CONFIDENCE,BET_CONFIDENCE,CONFIDENCE_LABEL,RESULT,ACTUAL,empty_state_reason,candidate_count,qualified_count,line_open,line_move,line_pulled,won_flag,lost_flag
2025-07-05,Kelsey Plum,LVA,NYL,rebounds,2.2,over,mockbook,-115.0,0.9062,0.3713162790697675,3.9453641715692793,3.846549000817826,2.23501773877976,5.739379284465101,32.98125235311134,medium,3.0,win,2.0,1.7453641715692791,54.02142964913936,2025-07-05,Kelsey Plum,LVA,LVA vs NYL,REB,rebounds,OVER REB,2.2,3.9453641715692793,1.7453641715692791,1.7453641715692791,1.3950921654537978,0.9062,MEDIUM,40.62,Medium,,,,,,,,,1,0
2025-07-05,Kelsey Plum,LVA,NYL,steals,0.9,over,mockbook,-115.0,0.8937,0.3588162790697675,1.323518151131333,1.3004566902954844,0.8894113707123779,1.7959399638011198,32.98125235311134,medium,0.0,loss,2.0,0.4235181511313329,51.13708362870143,2025-07-05,Kelsey Plum,LVA,LVA vs NYL,STL,steals,OVER STL,0.9,1.323518151131333,0.4235181511313329,0.4235181511313329,0.3562231685678968,0.8937,MEDIUM,39.370000000000005,Medium,,,,,,,,,0,1
2025-07-05,Aliyah Boston,IND,CON,blocks,1.4,under,mockbook,-115.0,0.8069,0.2720162790697674,1.104359688579477,1.080907850314981,0.6685159845455857,1.5683925532928895,30.13145787835873,medium,2.0,loss,2.0,-0.2956403114205228,40.07371195474802,2025-07-05,Aliyah Boston,IND,IND vs CON,BLK,blocks,UNDER BLK,1.4,1.104359688579477,-0.2956403114205228,0.2956403114205228,0.3547320269605887,0.8069,MEDIUM,30.69,Medium,,,,,,,,,0,1
2025-07-05,Kelsey Mitchell,IND,CON,points,18.2,over,mockbook,-115.0,0.7853,0.2504162790697675,20.74426444848841,20.5773440528226,16.76229320221557,24.95704947595729,31.601699450219364,medium,19.0,win,2.0,2.5442644484884127,39.66644333897175,2025-07-05,Kelsey Mitchell,IND,IND vs CON,PTS,points,OVER PTS,18.2,20.74426444848841,2.5442644484884127,2.5442644484884127,3.188957282261695,0.7853,MEDIUM,28.53,Medium,,,,,,,,,1,0
2025-07-05,Kelsey Mitchell,IND,CON,rebounds,2.0,over,mockbook,-115.0,0.7883,0.2534162790697675,3.4290614231031227,3.215516213967284,1.3796635089471567,5.758674860917586,31.601699450219364,medium,0.0,loss,2.0,1.429061423103123,38.926240313586455,2025-07-05,Kelsey Mitchell,IND,IND vs CON,REB,rebounds,OVER REB,2.0,3.4290614231031227,1.429061423103123,1.429061423103123,1.7392934522277883,0.7883,MEDIUM,28.83,Medium,,,,,,,,,0,1
2026-05-08,Jonquel Jones,NYL,CON,points,34.5,under,prizepicks,,1.0,0.5,16.399622718376254,16.30640123068436,13.6343069007326,19.303853739215374,31.40010455478774,medium,10.0,win,2.0,-18.100377281623743,85.54238041826738,2026-05-08,Jonquel Jones,NYL,NYL vs CON,PTS,points,UNDER PTS,34.5,16.399622718376254,-18.100377281623743,18.100377281623743,2.2207810832599595,1.0,MEDIUM,50.0,Medium,,,,,,,,,1,0
2026-05-08,Marina Mabrey,CON,NYL,points,29.5,under,prizepicks,,0.9961,0.4961,17.31322353876426,17.103730570255912,12.378430024136694,22.548548469234422,30.94815791078923,medium,27.0,win,2.0,-12.18677646123574,79.12772119855941,2026-05-08,Marina Mabrey,CON,CON vs NYL,PTS,points,UNDER PTS,29.5,17.31322353876426,-12.18677646123574,12.18677646123574,3.9931683371854425,0.9961,MEDIUM,49.61,Medium,,,,,,,,,1,0
2026-05-08,Jonquel Jones,NYL,CON,assists,13.5,under,prizepicks,,1.0,0.5,2.3734729879950094,2.2364892136710446,1.0710528473636691,3.813024881707901,31.40010455478774,medium,1.0,win,2.0,-11.12652701200499,78.56853014864862,2026-05-08,Jonquel Jones,NYL,NYL vs CON,AST,assists,UNDER AST,13.5,2.3734729879950094,-11.12652701200499,11.12652701200499,1.0955785289191162,1.0,MEDIUM,50.0,Medium,,,,,,,,,1,0
2026-05-08,Breanna Stewart,NYL,CON,assists,11.5,under,prizepicks,,1.0,0.5,3.431257656329498,3.3553587107071734,2.06146235192889,4.899043166659951,35.22300071087906,medium,2.0,win,2.0,-8.068742343670502,75.62543236499688,2026-05-08,Breanna Stewart,NYL,NYL vs CON,AST,assists,UNDER AST,11.5,3.431257656329498,-8.068742343670502,8.068742343670502,1.112774226265226,1.0,MEDIUM,50.0,Medium,,,,,,,,,1,0
2026-05-08,Marina Mabrey,CON,NYL,assists,9.5,under,prizepicks,,1.0,0.5,4.735627200728334,4.678991311575381,3.5177930991959645,6.00403069795735,30.94815791078923,medium,2.0,win,2.0,-4.764372799271666,72.19281753659534,2026-05-08,Marina Mabrey,CON,CON vs NYL,AST,assists,UNDER AST,9.5,4.735627200728334,-4.764372799271666,4.764372799271666,0.975607507258261,1.0,MEDIUM,50.0,Medium,,,,,,,,,1,0
