player_key,player_name,team,game_date,actual_minutes,n_prior_games,min_avg_3,min_avg_5,min_avg_10,min_std_5,min_std_10,starts_last_10,consec_starts,consec_bench,minutes_trend,usage_trend,days_since_last,availability,rotation_class
a'ja wilson,A'ja Wilson,LVA,2025-05-16,36.5,0,,,,,,,,,,,,,Bench Flyer
a'ja wilson,A'ja Wilson,LVA,2025-05-18,31.3,1,36.5,36.5,36.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,active,Bench Flyer
a'ja wilson,A'ja Wilson,LVA,2025-05-20,35.3,2,33.9,33.9,33.9,3.6769552621700465,3.6769552621700465,2.0,2.0,0.0,0.0,0.0,2.0,active,Stable Rotation
a'ja wilson,A'ja Wilson,LVA,2025-05-22,34.8,3,34.36666666666667,34.36666666666667,34.36666666666667,2.7227437142216173,2.7227437142216173,3.0,3.0,0.0,0.0,0.0,2.0,active,Stable Rotation
a'ja wilson,A'ja Wilson,LVA,2025-05-24,34.4,4,33.8,34.474999999999994,34.474999999999994,2.2336442569636423,2.2336442569636423,4.0,4.0,0.0,-0.6749999999999972,0.020722929044861615,2.0,active,Stable Rotation
a'ja wilson,A'ja Wilson,LVA,2025-05-26,33.7,5,34.833333333333336,34.459999999999994,34.459999999999994,1.9346834366376315,1.9346834366376315,5.0,5.0,0.0,0.37333333333334195,-0.03531901429506934,2.0,active,Stable Rotation
a'ja wilson,A'ja Wilson,LVA,2025-05-28,27.6,6,34.3,33.9,34.333333333333336,1.5668439615992382,1.758029199605815,6.0,6.0,0.0,-0.033333333333338544,0.0829780198797978,2.0,active,Stable Rotation
a'ja wilson,A'ja Wilson,LVA,2025-05-30,36.7,7,31.899999999999995,33.16,33.371428571428574,3.1627519662471144,3.0087174929496032,7.0,7.0,0.0,-1.4714285714285786,0.09473864637220908,2.0,active,Stable Starter
a'ja wilson,A'ja Wilson,LVA,2025-06-01,37.3,8,32.666666666666664,33.44,33.787499999999994,3.4486229135699946,3.0239224763305588,8.0,8.0,0.0,-1.12083333333333,0.12380558815954124,2.0,active,Stable Starter
a'ja wilson,A'ja Wilson,LVA,2025-06-03,32.9,9,33.86666666666667,33.94,34.17777777777778,3.852661417773432,3.06136316768273,9.0,9.0,0.0,-0.31111111111111,-0.0029645617830367232,2.0,active,Stable Starter
a'ja wilson,A'ja Wilson,LVA,2025-06-05,32.6,10,35.63333333333333,33.64,34.05,3.866264346885763,2.914427712071254,10.0,10.0,0.0,1.5833333333333357,-0.0023103597275559995,2.0,active,Stable Starter
a'ja wilson,A'ja Wilson,LVA,2025-06-07,34.6,11,34.26666666666666,33.42,33.660000000000004,3.893199198602609,2.809191263612279,10.0,11.0,0.0,0.6066666666666549,-0.046011430326379776,2.0,active,Stable Starter
a'ja wilson,A'ja Wilson,LVA,2025-06-09,30.9,12,33.36666666666667,34.82,33.99,2.1417282740814714,2.6925617706728446,10.0,12.0,0.0,-0.6233333333333348,0.048073199560990654,2.0,active,Stable Starter
